Days,Corr,K_best,Reg,Features,Mean absolute error
0,0.0,5,"Ridge(alpha=1.0, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=None, solver='auto', tol=0.001)","[['TD_22', 'TDmax_22', 'TDmin_23', 'TDmax_23', 'TD_23']]",1.6684389316516555
0,0.0,5,"Lasso(alpha=1.0, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=None,
   selection='cyclic', tol=0.0001, warm_start=False)","[['TD_22', 'TDmax_22', 'TDmin_23', 'TDmax_23', 'TD_23']]",1.6867470233135997
0,0.0,5,"ElasticNet(alpha=1.0, copy_X=True, fit_intercept=True, l1_ratio=0.5,
      max_iter=1000, normalize=False, positive=False, precompute=False,
      random_state=None, selection='cyclic', tol=0.0001, warm_start=False)","[['TD_22', 'TDmax_22', 'TDmin_23', 'TDmax_23', 'TD_23']]",1.67336306162278
0,0.0,5,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1,
  gamma='auto_deprecated', kernel='rbf', max_iter=-1, shrinking=True,
  tol=0.001, verbose=False)","[['TD_22', 'TDmax_22', 'TDmin_23', 'TDmax_23', 'TD_23']]",1.7584807579959734
0,0.0,5,"MLPRegressor(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(100,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=200, momentum=0.9,
       n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
       random_state=None, shuffle=True, solver='adam', tol=0.0001,
       validation_fraction=0.1, verbose=False, warm_start=False)","[['TD_22', 'TDmax_22', 'TDmin_23', 'TDmax_23', 'TD_23']]",1.669329151192756
0,0.0,5,"RandomForestRegressor(bootstrap=True, criterion='mse', max_depth=None,
           max_features='auto', max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=None,
           oob_score=False, random_state=None, verbose=0, warm_start=False)","[['TD_22', 'TDmax_22', 'TDmin_23', 'TDmax_23', 'TD_23']]",1.8703874038160173
0,0.0,20,"Ridge(alpha=1.0, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=None, solver='auto', tol=0.001)","[['TDmax_29', 'TD_90', 'TDmin_29', 'TD_29', 'TDmax_90', 'TDmin_188', 'TDmin_28', 'TD_188', 'TDmax_188', 'TD_28', 'TDmin_218', 'TDmax_28', 'TD_218', 'TDmax_218', 'TDmin_22', 'TD_22', 'TDmax_22', 'TDmin_23', 'TDmax_23', 'TD_23']]",1.6396779287671959
0,0.0,20,"Lasso(alpha=1.0, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=None,
   selection='cyclic', tol=0.0001, warm_start=False)","[['TDmax_29', 'TD_90', 'TDmin_29', 'TD_29', 'TDmax_90', 'TDmin_188', 'TDmin_28', 'TD_188', 'TDmax_188', 'TD_28', 'TDmin_218', 'TDmax_28', 'TD_218', 'TDmax_218', 'TDmin_22', 'TD_22', 'TDmax_22', 'TDmin_23', 'TDmax_23', 'TD_23']]",1.6819529156037043
0,0.0,20,"ElasticNet(alpha=1.0, copy_X=True, fit_intercept=True, l1_ratio=0.5,
      max_iter=1000, normalize=False, positive=False, precompute=False,
      random_state=None, selection='cyclic', tol=0.0001, warm_start=False)","[['TDmax_29', 'TD_90', 'TDmin_29', 'TD_29', 'TDmax_90', 'TDmin_188', 'TDmin_28', 'TD_188', 'TDmax_188', 'TD_28', 'TDmin_218', 'TDmax_28', 'TD_218', 'TDmax_218', 'TDmin_22', 'TD_22', 'TDmax_22', 'TDmin_23', 'TDmax_23', 'TD_23']]",1.666037386355883
0,0.0,20,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1,
  gamma='auto_deprecated', kernel='rbf', max_iter=-1, shrinking=True,
  tol=0.001, verbose=False)","[['TDmax_29', 'TD_90', 'TDmin_29', 'TD_29', 'TDmax_90', 'TDmin_188', 'TDmin_28', 'TD_188', 'TDmax_188', 'TD_28', 'TDmin_218', 'TDmax_28', 'TD_218', 'TDmax_218', 'TDmin_22', 'TD_22', 'TDmax_22', 'TDmin_23', 'TDmax_23', 'TD_23']]",1.9112306906553571
